"NestName","NestUUID","RingNR","organismID","Year","N_egg","Nest_Status","BOL","Weigth","Area","Age","Nest_state"
"4281380_2019","ff6b9dce-e5e2-11e9-adb9-870b0fcd359e",4281380,"94cbf20c-e507-11e9-8b1c-61bf5086d96e",2019,10,"partial_predation",1,670,"Guslia","ad",0
"4281385_2019","ff6b9dcf-e5e2-11e9-adb9-870b0fcd359e",4281385,"94c90dc7-e507-11e9-8b1c-61bf5086d96e",2019,12,"abondoned",1,600,"Guslia","juv",0
"4281493_2019","ff6bc4f8-e5e2-11e9-adb9-870b0fcd359e",4281493,"94ccb4fb-e507-11e9-8b1c-61bf5086d96e",2019,13,"hatched",1,580,"Lifjellet","ad",1
"4281325_2019","ff6bc4fa-e5e2-11e9-adb9-870b0fcd359e",4281325,"94cc1a23-e507-11e9-8b1c-61bf5086d96e",2019,14,"predation",1,585,"Guslia","ad",0
"4281461_2019","ff6bc4fb-e5e2-11e9-adb9-870b0fcd359e",4281461,"94ccdbea-e507-11e9-8b1c-61bf5086d96e",2019,10,"hatched",0,610,"Lifjellet","ad",1
"4281411_2019","ff6bc4fc-e5e2-11e9-adb9-870b0fcd359e",4281411,"94cbf211-e507-11e9-8b1c-61bf5086d96e",2019,11,"hatched",1,580,"Lifjellet","juv",1
"4281399_2019","ff6bebd6-e5e2-11e9-adb9-870b0fcd359e",4281399,"94cc408c-e507-11e9-8b1c-61bf5086d96e",2019,8,"predation",1,520,"Lifjellet","juv",0
"4281414_2019","ff6bebd9-e5e2-11e9-adb9-870b0fcd359e",4281414,"94cb5634-e507-11e9-8b1c-61bf5086d96e",2019,9,"predation",1,590,"Lifjellet","ad",0
"4281497_2019","ff6bebda-e5e2-11e9-adb9-870b0fcd359e",4281497,"94c9d0da-e507-11e9-8b1c-61bf5086d96e",2019,10,"abondoned",1,580,"Lifjellet","juv",0
"4281398_2019","ff6bebdb-e5e2-11e9-adb9-870b0fcd359e",4281398,"94cc66fd-e507-11e9-8b1c-61bf5086d96e",2019,10,"predation",0,640,"Lifjellet","juv",0
"4281492_2019","ff6c12d2-e5e2-11e9-adb9-870b0fcd359e",4281492,"94ca457b-e507-11e9-8b1c-61bf5086d96e",2019,9,"hatched",1,580,"Lifjellet","juv",1
"4281381_2019","ff6c12d3-e5e2-11e9-adb9-870b0fcd359e",4281381,"94cb7d24-e507-11e9-8b1c-61bf5086d96e",2019,11,"hatched",1,610,"Guslia","juv",1
"4281429_2019","ff6c12d5-e5e2-11e9-adb9-870b0fcd359e",4281429,"94cae15b-e507-11e9-8b1c-61bf5086d96e",2019,12,"hatched",1,560,"Guslia","ad",1
"4281416_2019","ff6c39b0-e5e2-11e9-adb9-870b0fcd359e",4281416,"94cc66f8-e507-11e9-8b1c-61bf5086d96e",2019,9,"hatched",1,530,"Guslia","juv",1
"4281417_2019","ff6c39b1-e5e2-11e9-adb9-870b0fcd359e",4281417,"94cc8e09-e507-11e9-8b1c-61bf5086d96e",2019,9,"hatched",1,600,"Guslia","ad",1
"4281433_2019","ff6c39b2-e5e2-11e9-adb9-870b0fcd359e",4281433,"94ca1f1f-e507-11e9-8b1c-61bf5086d96e",2019,7,"partial_predation",0,610,"Guslia","ad",0
